task_id,task,ground_truth_success,ground_truth_failure,rule_label,rule_score,rule_failure_type,llm_label,llm_score,llm_failure_type,llm_reasoning,llm_suggestion,evaluation_mode,label_agreement,failure_type_agreement,score_difference
tool_001,"Calculate the compound amount for $1,000 invested at 5% annual interest for 2 years.",True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
tool_002,Find the current temperature from the provided weather tool.,False,tool_selection_error,fail,2,tool_selection_error,fail,2,tool_selection_error,The trajectory failed with the primary issue 'tool_selection_error'.,Improve tool routing and tool descriptions.,fallback,True,True,0
retrieval_001,Find the refund period in the supplied store policy.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
retrieval_002,Find the refund period in the supplied store policy.,False,retrieval_error,fail,2,retrieval_error,fail,2,retrieval_error,The trajectory failed with the primary issue 'retrieval_error'.,Improve query formulation and retrieval recall.,fallback,True,True,0
code_001,Fix a Python function that should return the sum of two numbers but currently subtracts them.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
code_002,Fix a Python function that should return the sum of two numbers but currently subtracts them.,False,verification_failure,fail,2,verification_failure,fail,2,verification_failure,The trajectory failed with the primary issue 'verification_failure'.,Verify outputs before finalizing the task.,fallback,True,True,0
planning_001,Create a three-step migration plan for moving a small API service to a new database.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
planning_002,Create and execute a plan to analyze a CSV file and summarize the top three product categories.,False,incomplete_execution,fail,2,incomplete_execution,fail,2,incomplete_execution,The trajectory failed with the primary issue 'incomplete_execution'.,Add task-completion validation.,fallback,True,True,0
reasoning_001,Use the provided facts to determine which employee is eligible for promotion.,False,context_loss,fail,1,context_loss,fail,1,context_loss,The trajectory failed with the primary issue 'context_loss'.,Preserve relevant state across trajectory steps.,fallback,True,True,0
reasoning_002,Determine the annual subscription price using only the supplied pricing table.,False,hallucination,fail,1,hallucination,fail,1,hallucination,The trajectory failed with the primary issue 'hallucination'.,Require evidence before generating final claims.,fallback,True,True,0
